CITY,MONUMENT,YEAR_2019_20,YEAR_2020_21,YEAR_2021_22,YEAR_2022_23,YEAR_2023_24,GROWTH_2020_21_VS_2019_20,GROWTH_2021_22_VS_2020_21,GROWTH_2022_23_VS_2021_22,GROWTH_2023_24_VS_2022_23
Delhi,Red Fort,91364.0,1438.0,5579.0,49060.0,84177.0,-98.4,288.0,779.4,71.6
Delhi,Safdarjung Tomb,15977.0,392.0,627.0,5967.0,9770.0,-97.5,59.9,851.7,63.7
Delhi,Sultanghari Tomb,6.0,233.0,5.0,4.0,6.0,3783.3,-97.9,-20.0,50.0
Delhi,Tughluqabad,908.0,109.0,132.0,619.0,316.0,-88.0,21.1,368.9,-48.9
Dharwad,Durga temple complx Aihole,3849.0,99.0,69.0,2072.0,3245.0,-97.4,-30.3,2902.9,56.6
Dharwad,Gol Gumbaz Vijayapura,1683.0,75.0,263.0,755.0,1368.0,-95.5,250.7,187.1,81.2
Dharwad,Group of Monuments (WH) Pattadakal,4310.0,61.0,79.0,2359.0,3662.0,-98.6,29.5,2886.1,55.2
Dharwad,Ibrahim Rauza Bijapur,1290.0,12.0,20.0,644.0,1095.0,-99.1,66.7,3120.0,70.0
Dharwad,Jaina & Vaishnava Cave Badami,6758.0,167.0,199.0,3271.0,5083.0,-97.5,19.2,1543.7,55.4
Dharwad,Temples & Sculpture Shed lakkumdi,91.0,0.0,273.0,104.0,118.0,-100.0,,-61.9,13.5
Goa,Upper Fort Aguada,8104.0,340.0,1057.0,8320.0,10411.0,-95.8,210.9,687.1,25.1
Guwahati,Ahom Raja's Palace,175.0,69.0,29.0,151.0,160.0,-60.6,-58.0,420.7,6.0
Guwahati,Bishnudol,118.0,0.0,2.0,32.0,10.0,-100.0,,1500.0,-68.8
Guwahati,Group of four Maidans Charaideo Sibasagar,141.0,72.0,52.0,26.0,86.0,-48.9,-27.8,-50.0,230.8
Guwahati,Kareghar of Ahom Kings Sibasagar,577.0,93.0,22.0,554.0,788.0,-83.9,-76.3,2418.2,42.2
Guwahati,Ranghar Pavillion Jaisagar,546.0,75.0,22.0,519.0,680.0,-86.3,-70.7,2259.1,31.0
Hampi,Bellary Fort,56.0,9.0,15.0,13.0,40.0,-83.9,66.7,-13.3,207.7
Hampi,Group of Monuments Hampi,27006.0,627.0,1244.0,15890.0,21935.0,-97.7,98.4,1177.3,38.0
Hyderabad,Charminar,7803.0,182.0,648.0,5986.0,8040.0,-97.7,256.0,823.8,34.3
Hyderabad,Golconda,20572.0,912.0,1511.0,11509.0,15839.0,-95.6,65.7,661.7,37.6
Hyderabad,Warangal,277.0,54.0,106.0,239.0,242.0,-80.5,96.3,125.5,1.3
Jabalpur,Ancient Site and Adamgrah rock shelter Kalamdi Rasuliya and kishanpur,18.0,8.0,41.0,57.0,0.0,-55.6,412.5,39.0,-100.0
Jabalpur,Group of Temple Parameshvar shiv and Karan Temple Amarkantak,42.0,13.0,133.0,94.0,145.0,-69.0,923.1,-29.3,54.3
Jabalpur,Western Group of Temples Khajuraho,41741.0,275.0,795.0,15271.0,27082.0,-99.3,189.1,1820.9,77.3
Jaipur,Ancient Site Bhangarh,1893.0,85.0,152.0,1450.0,2575.0,-95.5,78.8,853.9,77.6
Jaipur,Baori at Abhaneri,85732.0,115.0,817.0,39248.0,96080.0,-99.9,610.4,4703.9,144.8
Jaipur,Deeg Bhawan,1067.0,30.0,27.0,383.0,245.0,-97.2,-10.0,1318.5,-36.0
Jhansi,Gupta Temple & Varah Temple Deogarh,32.0,0.0,0.0,13.0,18.0,-100.0,,,38.5
Jhansi,Kalinjar Fort,137.0,27.0,7.0,162.0,192.0,-80.3,-74.1,2214.3,18.5
Jhansi,Rani Jhansi Fort,705.0,107.0,58.0,292.0,611.0,-84.8,-45.8,403.4,109.2
Jhansi,Rani Lakshmi Bai Mahal,50.0,5.0,0.0,27.0,43.0,-90.0,-100.0,,59.3
Jodhpur,Chittaurgarh Fort,15188.0,206.0,288.0,7155.0,13118.0,-98.6,39.8,2384.4,83.3
Jodhpur,Kumbhalgarh Fort,11208.0,208.0,257.0,4759.0,7390.0,-98.1,23.6,1751.8,55.3
Jodhpur,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,98.0,141.0,23.0,176.0,150.0,43.9,-83.7,665.2,-14.8
Kolkata,Bishnupur Temples,505.0,237.0,222.0,321.0,464.0,-53.1,-6.3,44.6,44.5
Kolkata,Metcelf-Hall,27.0,24.0,36.0,136.0,210.0,-11.1,50.0,277.8,54.4
Leh,Ancient Palace Leh,5671.0,6.0,176.0,2610.0,7924.0,-99.9,2833.3,1383.0,203.6
Lucknow,Piprahwa & Ganwaria,3098.0,3.0,101.0,5620.0,18061.0,-99.9,3266.7,5464.4,221.4
Lucknow,Residency Building,3367.0,37.0,130.0,1789.0,3571.0,-98.9,251.4,1276.2,99.6
Lucknow,Site of Sahet mahet,13628.0,35.0,306.0,43360.0,71120.0,-99.7,774.3,14069.9,64.0
Mumbai,Aga Khan Palace Building,9264.0,55.0,197.0,3121.0,3645.0,-99.4,258.2,1484.3,16.8
Mumbai,Buddhist Caves Kanheri,12106.0,0.0,576.0,6063.0,7571.0,-100.0,,952.6,24.9
Mumbai,Cave Temple & Inscriptions Bhaja,1872.0,24.0,81.0,517.0,413.0,-98.7,237.5,538.3,-20.1
Mumbai,Cave Temple and Inscriptions Junaar Lenyadri,105.0,6.0,20.0,391.0,844.0,-94.3,233.3,1855.0,115.9
Mumbai,Caves Temples and inscriptions Karla,2068.0,21.0,150.0,2170.0,1860.0,-99.0,614.3,1346.7,-14.3
Mumbai,Elephanta Caves,37891.0,281.0,1321.0,13368.0,21584.0,-99.3,370.1,912.0,61.5
Mumbai,Janjira Fort Murd,151.0,7.0,68.0,199.0,207.0,-95.4,871.4,192.6,4.0
Mumbai,Kolaba Fort Alibag,112.0,12.0,19.0,128.0,156.0,-89.3,58.3,573.7,21.9
Mumbai,Kondiote Caves,591.0,0.0,76.0,310.0,659.0,-100.0,,307.9,112.6
Mumbai,Lohgad Fort,579.0,21.0,59.0,534.0,207.0,-96.4,181.0,805.1,-61.2
Mumbai,Old Fort Sholapur,45.0,1.0,5.0,32.0,28.0,-97.8,400.0,540.0,-12.5
Mumbai,Raigad Fort,82.0,0.0,12.0,97.0,101.0,-100.0,,708.3,4.1
Mumbai,Shaniwarwada,8505.0,87.0,478.0,4899.0,6542.0,-99.0,449.4,924.9,33.5
Nagpur,Ancient Buddhist Remains comprising monstery stupa rock sculptures inscriptions ect Mansar,65.0,0.0,8.0,33.0,128.0,-100.0,,312.5,287.9
Nagpur,Gawilgarh Fort,11.0,0.0,5.0,16.0,27.0,-100.0,,220.0,68.8
Patna,Ancient Site of Vikramshila Antichak,436.0,27583.0,0.0,115.0,588.0,6226.4,-100.0,,411.3
Patna,Ancient site of Vaishali Kolhua,12962.0,49213.0,28.0,9673.0,25602.0,279.7,-99.9,34446.4,164.7
Patna,Excavated Remains at Nalanda,26903.0,105816.0,281.0,37456.0,65506.0,293.3,-99.7,13229.5,74.9
Patna,Remains of Patliputra Site of Mauryan Palace Kumrahar,207.0,25876.0,11.0,178.0,1322.0,12400.5,-100.0,1518.2,642.7
Patna,Sher Shah's Tomb,153.0,95133.0,17.0,59.0,154.0,62078.4,-100.0,247.1,161.0
Raiganj,Cooch Bihar Palace,52.0,161.0,162.0,98.0,150.0,209.6,0.6,-39.5,53.1
Raiganj,Hazarduari Palace,1723.0,649.0,167.0,1148.0,1454.0,-62.3,-74.3,587.4,26.7
Raipur,Temple of Laxman and Old sites including sculptures sirpur,96.0,44746.0,1.0,19.0,67.0,46510.4,-100.0,1800.0,252.6
Rajkot,Asokan Rock Edict Jungadh,168.0,16.0,27.0,177.0,240.0,-90.5,68.8,555.6,35.6
Rajkot,Baba Pyara Caves Junagadh & Khapra Khodiya Caves Junagadh,142.0,1.0,6.0,9.0,11.0,-99.3,500.0,50.0,22.2
Sarnath,Ancient Buddhist Site know as Chaukhandi stupa,5186.0,46.0,91.0,6389.0,5816.0,-99.1,97.8,6920.9,-9.0
Sarnath,Excavated Remains at sarnath,100590.0,384.0,1617.0,54743.0,76785.0,-99.6,321.1,3285.5,40.3
Sarnath,Lord Cornwallis Tomb,85.0,9.0,14.0,90.0,125.0,-89.4,55.6,542.9,38.9
Sarnath,Observatory of Man Singh,954.0,11.0,28.0,511.0,1179.0,-98.8,154.5,1725.0,130.7
Sarnath,Old Fort (Shahi Fort) Jaunpur,114.0,127.0,201.0,343.0,272.0,11.4,58.3,70.6,-20.7
