State,Place,City,ImageName
ladakh,Julley Leh Biodiversity Park,Leh,ladakh_leh_julley_leh_biodiversity_park.jpg
punjab,Gurudwara Baba Deep Singh Ji,Amritsar,punjab_amritsar_gurudwara_baba_deep_singh_ji.jpg
punjab,Gurudwara Bibeksar Sahib,Amritsar,punjab_amritsar_gurudwara_bibeksar_sahib.jpg
punjab,Gurudwara Lohgarh Sahib,Amritsar,punjab_amritsar_gurudwara_lohgarh_sahib.jpg
punjab,Gurudwara Guru ka Mahal,Amritsar,punjab_amritsar_gurudwara_guru_ka_mahal.jpg
gujarat,Ambe Dham,Kutch,gujarat_kutch_ambe_dham.jpg
punjab,Gurudwara Chheharta Sahib,Amritsar,punjab_amritsar_gurudwara_chheharta_sahib.jpg
uttarakhand,Sheshnetre Temple,Badrinath,uttarakhand_badrinath_sheshnetre_temple.jpg
delhi,Humayun's Tomb,Delhi,delhi_delhi_humayuns_tomb.jpg
uttar-pradesh,Kanpur Memorial Church,Kanpur,uttar-pradesh_kanpur_kanpur_memorial_church.jpg
jammu-and-kashmir,Amar Mahal Palace,Jammu,jammu-and-kashmir_jammu_amar_mahal_palace.jpg
mizoram,Tamdil,Aizawl,mizoram_aizawl_tamdil.jpg
mizoram,Hmuifang Mountain Peak,Aizawl,mizoram_aizawl_hmuifang_mountain_peak.jpg
mizoram,Martyrs Memorial,Aizawl,mizoram_aizawl_martyrs_memorial.jpg
mizoram,Phulpui Graves,Aizawl,mizoram_aizawl_phulpui_graves.jpg
delhi,Jama Masjid,Delhi,delhi_delhi_jama_masjid.jpg
jammu-and-kashmir,Mantalai Temple,Jammu,jammu-and-kashmir_jammu_mantalai_temple.jpg
jammu-and-kashmir,Vaishno Devi Temple,Jammu,jammu-and-kashmir_jammu_vaishno_devi_temple.jpg
jammu-and-kashmir,Bahu Fort,Jammu,jammu-and-kashmir_jammu_bahu_fort.jpg
jammu-and-kashmir,Ramnagar Fort,Jammu,jammu-and-kashmir_jammu_ramnagar_fort.jpg
karnataka,Mahakuta Group of Temples,Bagalkote,karnataka_bagalkote_mahakuta_group_of_temples.jpg
haryana,Bhadrakali Temple,Kurukshetra,haryana_kurukshetra_bhadrakali_temple.jpg
dadra-and-nagar-haveli-and-daman-and-diu,Sai Baba Temple,Daman,dadra-and-nagar-haveli-and-daman-and-diu_daman_sai_baba_temple.jpg
haryana,Badshahpur Fort and Baoli,Gurugram,haryana_gurugram_badshahpur_fort_and_baoli.jpg
punjab,Punjab State War Heroes’ Memorial and Museum,Amritsar,punjab-state-war-heroes-memorial-and-museum-amritsar-tourism-entry-fee-timings-holidays-reviews-header.jpeg
punjab,The Golden Temple,Amritsar,punjab_amritsar_the_golden_temple.jpg
punjab,Gurudwara Baba Atal Sahib,Amritsar,punjab_amritsar_gurudwara_baba_atal_sahib.jpg
punjab,Gurudwara Bir Baba Budha Sahib,Amritsar,punjab_amritsar_gurudwara_bir_baba_budha_sahib.jpg
punjab,Sadda Pind,Amritsar,punjab_amritsar_sadda_pind.jpg
punjab,Ram Tirath Temple,Amritsar,punjab_amritsar_ram_tirath_temple.jpg
punjab,Jallianwala Bagh,Amritsar,punjab_amritsar_jallianwala_bagh.jpg
west-bengal,Galingka Bunglow,Kalimpong,west-bengal_kalimpong_galingka_bunglow.jpg
andhra-pradesh,Amaravati Mahachaitya,Amaravati,andhra-pradesh_amaravati_amaravati_mahachaitya.jpg
dadra-and-nagar-haveli-and-daman-and-diu,Swami Narayan Temple,Daman,dadra-and-nagar-haveli-and-daman-and-diu_daman_swami_narayan_temple.jpg
dadra-and-nagar-haveli-and-daman-and-diu,Satmalia Wildlife Sanctuary,Daman,dadra-and-nagar-haveli-and-daman-and-diu_daman_satmalia_wildlife_sanctuary.jpg
dadra-and-nagar-haveli-and-daman-and-diu,Jampore Beach,Daman,dadra-and-nagar-haveli-and-daman-and-diu_daman_jampore_beach.jpg
dadra-and-nagar-haveli-and-daman-and-diu,Fort  of St. Jerome,Daman,dadra-and-nagar-haveli-and-daman-and-diu_daman_fort_of_st._jerome.jpg
dadra-and-nagar-haveli-and-daman-and-diu,Devka Beach,Daman,dadra-and-nagar-haveli-and-daman-and-diu_daman_devka_beach.jpg
gujarat,Thol Lake Sanctuary,Ahmedabad,gujarat_ahmedabad_thol_lake_sanctuary.jpg
west-bengal,Rock Garden And Ganga Maya Park,Darjeeling,west-bengal_darjeeling_rock_garden_and_ganga_maya_park.jpg
west-bengal,Lolegaon,Darjeeling,west-bengal_darjeeling_lolegaon.jpg
west-bengal,Bagdogra,Darjeeling,west-bengal_darjeeling_bagdogra.jpg
west-bengal,Observatory Hill,Darjeeling,west-bengal_darjeeling_observatory_hill.jpg
west-bengal,Tibetan Refugee Self Help Centre,Darjeeling,west-bengal_darjeeling_tibetan_refugee_self_help_centre.jpg
west-bengal,Happy Valley Tea Estate,Darjeeling,west-bengal_darjeeling_happy_valley_tea_estate.jpg
west-bengal,Lepchajagat,Darjeeling,west-bengal_darjeeling_lepchajagat.jpg
west-bengal,Singalila National Park,Darjeeling,west-bengal_darjeeling_singalila_national_park.jpg
rajasthan,Charbhuja Temple,Udaipur,rajasthan_udaipur_charbhuja_temple.jpg
rajasthan,Sas Bahu Temples,Udaipur,rajasthan_udaipur_sas_bahu_temples.jpg
rajasthan,Shilpgram,Udaipur,rajasthan_udaipur_shilpgram.jpg
himachal-pradesh,Raghunathji Temple,Kullu,himachal-pradesh_kullu_raghunathji_temple.jpg
goa,Cotigao Wildlife Sanctuary,Goa,goa_goa_cotigao_wildlife_sanctuary.jpg
goa,Colva Beach,Goa,goa_goa_colva_beach.jpg
