Nationality,Lean Month,Peak Month,Lean Month - Percentage Share,Peak Month - Percentage Share
Bangladesh, May, Aug, 6.9, 9.7
United States, Sep, Dec, 5.2, 14.5
United Kingdom, June, Feb, 4.1, 12.5
Australia, May, Jan, 4.7, 11.5
Canada, June, Jan, 4.3, 14.1
China, Aug, Nov, 6.0, 11.7
Malaysia, April, Nov, 6.5, 10.7
Sri Lanka, May, Aug, 4.3, 14.3
Germany, June, Feb, 4.5, 12.1
Russia Fed, June, Feb, 1.5, 16.2
France, May, Feb, 4.5, 13.3
Japan, June, Jan, 7.0, 9.6
Singapore, April, Dec, 6.5, 12.2
Thailand, June, Feb, 4.0, 15.3
Nepal, May, Oct, 6.0, 11.4
