NATIONALITY,LEAN_MONTH,PEAK_MONTH,LEAN_MONTH_PERCENTAGE_SHARE,PEAK_MONTH_PERCENTAGE_SHARE
USA,January,December,4.2,16.0
Bangladesh,February,December,1.8,15.1
UK,January,December,3.5,14.1
Australia,February,December,3.3,25.6
Canada,January,December,5.3,14.6
Sri Lanka,January,October,5.1,10.6
Germany,January,November,3.2,14.1
Nepal,January,September,2.4,11.8
Singapore,January,December,2.2,15.7
Malaysia,March,December,1.9,17.1
France,January,November,2.9,12.3
Russian Fed,June,December,2.9,25.2
Maldives,April,July,2.9,18.6
Portugal,March,December,6.3,13.6
Japan,February,December,0.03,0.1
