Nationality,Lean Month,Peak Month,Lean Month - Percentage Share,Peak Month - Percentage Share
Bangladesh, July, August, 7.20, 9.25
United States, August, December, 5.95, 14.58
United Kingdom, May, December, 4.11, 12.38
Sri Lanka, June, August, 4.55, 15.38
Canada, May, January, 4.15, 13.83
Australia, August, December, 5.21, 19.67
Malaysia, May, March, 5.08, 10.81
China, June, December, 5.96, 11.76
Germany, June, March, 4.93, 11.96
Russia Fed, August, January, 1.66, 17.96
France, May, February, 4.48, 13.03
Japan, May, March, 6.47, 9.18
Singapore, April, December, 6.62, 12.95
Nepal, November, October, 7.24, 11.44
Thailand, August, December, 4.42, 13.61
