Nationality,Lean Month,Peak Month,Lean Month - Percentage Share,Peak Month - Percentage Share
United States,May,Dec,1.61,23.28
Bangladesh,May,Dec,0.04,19.24
United Kingdom,May,Dec,0.81,22.20
Canada,May,Dec,0.61,24.16
Nepal,May,Oct,1.17,13.61
Afghanistan,Sep & Nov,Mar,0.5,21.41
Australia,May,Dec,0.31,51.74
Germany,May,Dec,1.49,15.90
Portugal,May,Nov,2.50,16.22
France,May,Nov,2.69,14.21
Maldives,May,Dec,0.89,28.47
Sri Lanka,May,Dec,0.44,38.91
Russia Fed,May,Dec,2.21,25.31
Iraq,May,Jan,0.06,13.95
Netherlands,May,Dec,3.57,18.41
