Category,Nationality,Average Duration of Stay (in Days)
North America,Canada,52.32
North America,United States of America,32.48
North America,Others,64.00
North America,Total,35
Central & South America,Argentina,56.39
Central & South America,Brazil,50.07
Central & South America,Mexico,47.86
Central & South America,Others,46.57
Central & South America,Total,49
Western Europe,Austria,29.78
Western Europe,Belgium,31.32
Western Europe,Denmark,31.87
Western Europe,Finland,32.80
Western Europe,France,29.88
Western Europe,Germany,24.80
Western Europe,Greece,20.53
Western Europe,Ireland,34.69
Western Europe,Italy,39.36
Western Europe,Netherlands,19.92
Western Europe,Norway,32.65
Western Europe,Portugal,38.58
Western Europe,Spain,38.01
Western Europe,Sweden,37.45
Western Europe,Switzerland,25.83
Western Europe,United Kingdom,30.44
Western Europe,Others,26.48
Western Europe,Total,31
Eastern Europe,Czech,39.79
Eastern Europe,Hungary,33.04
Eastern Europe,Kazakhstan,16.20
Eastern Europe,Poland,24.03
Eastern Europe,Russian Federation,27.45
Eastern Europe,Ukraine,21.58
Eastern Europe,Others,25.16
Eastern Europe,Total,25
Africa,Egypt,26.07
Africa,Kenya,33.92
Africa,Mauritius,47.07
Africa,Nigeria,53.53
Africa,South Africa,38.83
Africa,Sudan,49.03
Africa,Tanzania,38.63
Africa,Others,42.93
Africa,Total,41
West Asia,Bahrain,46.46
West Asia,Iraq,26.22
West Asia,Israel,20.79
West Asia,Oman,19.21
West Asia,Saudi Arabia,48.57
West Asia,Turkey,17.32
West Asia,United Arab Emirates,19.47
West Asia,Yemen,72.61
West Asia,Others,27.15
West Asia,Total,29
South Asia,Afghanistan,22.92
South Asia,Bangladesh,25.45
South Asia,Bhutan,31.77
South Asia,Iran,65.40
South Asia,Maldives,22.23
South Asia,Nepal,24.39
South Asia,Pakistan,62.21
South Asia,Sri Lanka,21.58
South Asia,Total,25
South East Asia,Indonesia,31.23
South East Asia,Malaysia,35.91
South East Asia,Myanmar,60.72
South East Asia,Philippines,16.31
South East Asia,Singapore,31.61
South East Asia,Thailand,71.11
South East Asia,Vietnam,22.89
South East Asia,Others,102.51
South East Asia,Total,36
East Asia,China,98.15
East Asia,Japan,53.79
East Asia,Korea (Republic Of),68.03
East Asia,Others,134.01
East Asia,Total,63
Australasia,Australia,47.23
Australasia,New Zealand,60.16
Australasia,Others,53.25
Australasia,Total,49
