Region,State,Foreign_visits(in thousands)
EAST,Andaman & Nicobar Islands,5.412
SOUTH,Andhra Pradesh,67.591
NORTH EAST,Arunachal Pradesh,0.961
NORTH EAST,Assam,7.285
EAST,Bihar,308.080
NORTH,Chandigarh,12.218
WEST & CENTRAL,Chhattisgarh,2.322
WEST & CENTRAL,UT of Dadra & Nagar Haveli and Daman and Diu,1.80259
NORTH,Delhi,681.230
WEST & CENTRAL,Goa,302.751
WEST & CENTRAL,Gujarat,210.047
NORTH,Haryana,17.474
NORTH,Himachal Pradesh,42.665
EAST,Jharkhand,0.490
NORTH,Jammu & Kashmir,5.317
SOUTH,Karnataka,165.325
SOUTH,Kerala,340.755
SOUTH,Lakshadweep,0.413
NORTH,Leh Ladakh,1.126
WEST & CENTRAL,Madhya Pradesh,99.819
WEST & CENTRAL,Maharashtra,1262.409
NORTH EAST,Manipur,3.139
NORTH EAST,Meghalaya,2.311
NORTH EAST,Mizoram,0.265
NORTH EAST,Nagaland,0.518
EAST,Odisha,10.206
SOUTH,Puducherry,92.080
NORTH,Punjab,359.114
NORTH,Rajasthan,446.457
NORTH EAST,Sikkim,19.935
SOUTH,Tamil Nadu,1228.323
SOUTH,Telangana,46.694
NORTH EAST,Tripura,31.877
NORTH,Uttar Pradesh,890.932
NORTH,Uttarakhand,41.339
EAST,West Bengal,463.285
