Region,State,Total_Tourist_Arrivals(in millions)
EAST,Andaman & Nicobar Islands,2.35
EAST,Bihar,253.3868
EAST,Jharkhand,383.03229999999996
EAST,Odisha,78.7021
EAST,West Bengal,846.4570000000001
NORTH,Chandigarh,30.298399999999997
NORTH,Delhi,272.6757
NORTH,Haryana,21.0824
NORTH,Himachal Pradesh,150.7393
NORTH,Jammu & Kashmir,185.01
NORTH,Ladakh,5.1213
NORTH,Punjab,261.21950000000004
NORTH,Rajasthan,1083.6767
NORTH,Uttar Pradesh,3179.789
NORTH,Uttarakhand,546.4916000000001
NORTH EAST,Arunachal Pradesh,2.2211
NORTH EAST,Assam,83.82900000000001
NORTH EAST,Manipur,1.4039
NORTH EAST,Meghalaya,9.3778
NORTH EAST,Mizoram,2.1826
NORTH EAST,Nagaland,0.9728999999999999
NORTH EAST,Sikkim,16.3286
NORTH EAST,Tripura,2.3685
SOUTH,Andhra Pradesh,1927.3358
SOUTH,Karnataka,1824.2585
SOUTH,Kerala,189.0155
SOUTH,Lakshadweep,0.23009999999999997
SOUTH,Puducherry,17.6009
SOUTH,Tamil Nadu,2186.2571
SOUTH,Telangana,607.5484
WEST & CENTRAL,Chhattisgarh,236.3602
WEST & CENTRAL,Goa,70.29480000000001
WEST & CENTRAL,Gujarat,1359.8872
WEST & CENTRAL,Madhya Pradesh,358.6945
WEST & CENTRAL,Maharashtra,1114.4915999999998
WEST & CENTRAL,UT of Dadra & Nagar Haveli and Daman and Diu,8.0
