Region,State,Total_Tourist_Arrivals(in millions)
EAST,A&N Island,1.263687
EAST,Bihar,25.013046
EAST,Jharkhand,33.837637
EAST,Odisha,37.424268999999995
EAST,West Bengal,243.294828
NORTH,Chandigarh,2.293451
NORTH,Delhi,106.52517800000001
NORTH,Haryana,20.259577999999998
NORTH,Himachal Pradesh,56.327932
NORTH,Jammu & Kashmir,113.15065
NORTH,Leh Ladakh,3.031054
NORTH,Punjab,266.712135
NORTH,Rajasthan,219.92180599999998
NORTH,Uttar Pradesh,1097.128737
NORTH,Uttarakhand,194.353532
NORTH EAST,Arunachal Pradesh,1.029182
NORTH EAST,Assam,14.092535999999999
NORTH EAST,Manipur,0.49464800000000003
NORTH EAST,Meghalaya,1.544411
NORTH EAST,Mizoram,0.8722340000000001
NORTH EAST,Nagaland,0.24032499999999998
NORTH EAST,Sikkim,5.128508
NORTH EAST,Tripura,1.7780050000000003
SOUTH,Andhra Pradesh,932.803551
SOUTH,Karnataka,813.409487
SOUTH,Kerala,75.436487
SOUTH,Lakshdweep,0.13500399999999999
SOUTH,Puducherry,12.532321
SOUTH,Tamil Nadu,1153.424622
SOUTH,Telangana,320.011917
WEST & CENTRAL,Chhattisgarh,47.474008
WEST & CENTRAL,Dadra & Nagar Haveli,1.9780800000000003
WEST & CENTRAL,Daman & Diu,4.634105
WEST & CENTRAL,Goa,33.103128
WEST & CENTRAL,Gujarat,245.263319
WEST & CENTRAL,Madhya Pradesh,255.582601
WEST & CENTRAL,Maharashtra,435.877643
