Region,State,Total_Tourist_Arrivals(in millions)
EAST,A&N Island,0.5212060000000001
EAST,Bihar,35.083141
EAST,Jharkhand,35.757042999999996
EAST,Odisha,15.423128000000002
EAST,West Bengal,94.022145
NORTH,Chandigarh,1.6081320000000001
NORTH,Delhi,39.451436
NORTH,Haryana,4.597046000000001
NORTH,Himachal Pradesh,17.211875999999997
NORTH,J&K,16.22092
NORTH,Ladakh,0.279652
NORTH,Punjab,48.48634300000001
NORTH,Rajasthan,53.82556000000001
NORTH,Uttar Pradesh,540.600181
NORTH,Uttarakhand,37.738273
NORTH EAST,Arunachal Pradesh,0.5638249999999999
NORTH EAST,Assam,5.4748779999999995
NORTH EAST,Manipur,0.181608
NORTH EAST,Meghalaya,1.271813
NORTH EAST,Mizoram,0.16624899999999998
NORTH EAST,Nagaland,0.131577
NORTH EAST,Sikkim,1.555388
NORTH EAST,Tripura,0.591405
SOUTH,Andhra Pradesh,237.33235599999998
SOUTH,Karnataka,228.54375399999998
SOUTH,Kerala,19.573771
SOUTH,Lakshdweep,0.00782
SOUTH,Puducherry,1.8629190000000002
SOUTH,Tamil Nadu,501.73132699999996
SOUTH,Telengana,83.359326
WEST & CENTRAL,Chhattisgarh,17.311817
WEST & CENTRAL,Dadra & Nagar Haveli,0.6196659999999999
WEST & CENTRAL,Daman & Diu,0.9037029999999999
WEST & CENTRAL,Goa,8.064113
WEST & CENTRAL,Gujarat,59.460606999999996
WEST & CENTRAL,Madhya Pradesh,89.034958
WEST & CENTRAL,Maharashtra,154.823704
