Region,State,Total_Tourist_Arrivals(in millions)
EAST,A&N Island,0.196412
EAST,Bihar,5.94608
EAST,Jharkhand,2.57549
EAST,Odisha,4.632206
EAST,West Bengal,29.305285000000005
NORTH,Chandigarh,0.430218
NORTH,Delhi,10.265229999999999
NORTH,Haryana,2.1324739999999998
NORTH,Himachal Pradesh,3.213665
NORTH,J&K,2.5253170000000003
NORTH,Ladakh,0.008126
NORTH,Punjab,17.051114
NORTH,Rajasthan,15.563457
NORTH,Uttar Pradesh,87.012932
NORTH,Uttarakhand,7.046339000000001
NORTH EAST,Arunachal Pradesh,0.043961
NORTH EAST,Assam,1.2742850000000001
NORTH EAST,Manipur,0.053139000000000006
NORTH EAST,Meghalaya,0.027311000000000002
NORTH EAST,Mizoram,0.031265
NORTH EAST,Nagaland,0.011518
NORTH EAST,Sikkim,0.335935
NORTH EAST,Tripura,0.159877
SOUTH,Andhra Pradesh,70.896591
SOUTH,Karnataka,77.618325
SOUTH,Kerala,5.3297550000000005
SOUTH,Lakshdweep,0.0034130000000000002
SOUTH,Puducherry,1.20708
SOUTH,Tamil Nadu,141.879323
SOUTH,Telengana,40.04369400000001
WEST & CENTRAL,Chhattisgarh,2.812322
WEST & CENTRAL,Dadra & Nagar Haveli,0.10522200000000001
WEST & CENTRAL,Daman & Diu,0.29838200000000004
WEST & CENTRAL,Goa,3.561751
WEST & CENTRAL,Gujarat,19.675047
WEST & CENTRAL,Madhya Pradesh,23.619819
WEST & CENTRAL,Maharashtra,40.49740900000001
