CITY,MONUMENT,YEAR_2019_20,YEAR_2020_21,YEAR_2021_22,YEAR_2022_23,YEAR_2023_24,GROWTH_2020_21_VS_2019_20,GROWTH_2021_22_VS_2020_21,GROWTH_2022_23_VS_2021_22,GROWTH_2023_24_VS_2022_23
Delhi,Khan-I-Khana,1782.0,3002.0,3448.0,4556.0,4782.0,68.5,14.9,32.1,5.0
Delhi,Kotla Feroz Shah,89397.0,27763.0,54145.0,119053.0,125734.0,-68.9,95.0,119.9,5.6
Delhi,Purana Qila,662300.0,200846.0,466334.0,598708.0,261483.0,-69.7,132.2,28.4,-56.3
Delhi,Qutub Minar,2048146.0,476063.0,1157664.0,1767548.0,3123643.0,-76.8,143.2,52.7,76.7
Delhi,Red Fort,2200044.0,187380.0,1323501.0,2214658.0,2794083.0,-91.5,606.3,67.3,26.2
Delhi,Safdarjung Tomb,72938.0,56776.0,74898.0,142379.0,150012.0,-22.2,31.9,90.1,5.4
Delhi,Sultanghari Tomb,530.0,22969.0,299.0,2110.0,132.0,4233.8,-98.7,605.7,-93.7
Delhi,Tughluqabad,76135.0,12856.0,20925.0,127556.0,32249.0,-83.1,62.8,509.6,-74.7
Dharwad,Durga temple complx Aihole,186767.0,75089.0,98363.0,195325.0,217316.0,-59.8,31.0,98.6,11.3
Dharwad,Gol Gumbaz Vijayapura,813943.0,283256.0,447627.0,831109.0,1005925.0,-65.2,58.0,85.7,21.0
Dharwad,Group of Monuments (WH) Pattadakal,262144.0,123110.0,157634.0,306808.0,343720.0,-53.0,28.0,94.6,12.0
Dharwad,Ibrahim Rauza Bijapur,155565.0,57759.0,102094.0,187111.0,217136.0,-62.9,76.8,83.3,16.0
Dharwad,Jaina & Vaishnava Cave Badami,372051.0,172259.0,234156.0,427138.0,476245.0,-53.7,35.9,82.4,11.5
Dharwad,Temples & Sculpture Shed lakkumdi,13019.0,5652.0,8067.0,15171.0,19913.0,-56.6,42.7,88.1,31.3
Goa,Upper Fort Aguada,837898.0,379726.0,656676.0,1014969.0,1191829.0,-54.7,72.9,54.6,17.4
Guwahati,Ahom Raja's Palace,44700.0,25443.0,34640.0,133792.0,107024.0,-43.1,36.1,286.2,-20.0
Guwahati,Bishnudol,21062.0,2921.0,2606.0,7453.0,6539.0,-86.1,-10.8,186.0,-12.3
Guwahati,Group of four Maidans Charaideo Sibasagar,23111.0,19866.0,34809.0,93788.0,47987.0,-14.0,75.2,169.4,-48.8
Guwahati,Kareghar of Ahom Kings Sibasagar,119912.0,54595.0,46408.0,242553.0,217013.0,-54.5,-15.0,422.7,-10.5
Guwahati,Ranghar Pavillion Jaisagar,69063.0,33939.0,39211.0,156804.0,163162.0,-50.9,15.5,299.9,4.1
Hampi,Bellary Fort,28723.0,11069.0,17263.0,14402.0,38270.0,-61.5,56.0,-16.6,165.7
Hampi,Group of Monuments Hampi,587238.0,273456.0,425950.0,809741.0,990195.0,-53.4,55.8,90.1,22.3
Hyderabad,Charminar,1151933.0,297548.0,440549.0,928808.0,1290074.0,-74.2,48.1,110.8,38.9
Hyderabad,Golconda,1630419.0,527096.0,946972.0,1526718.0,1608085.0,-67.7,79.7,61.2,5.3
Hyderabad,Warangal,92690.0,64339.0,85946.0,137235.0,108267.0,-30.6,33.6,59.7,-21.1
Jabalpur,Ancient Site and Adamgrah rock shelter Kalamdi Rasuliya and kishanpur,23354.0,16546.0,18655.0,17962.0,20248.0,-29.2,12.7,-3.7,12.7
Jabalpur,Group of Temple Parameshvar shiv and Karan Temple Amarkantak,57408.0,23598.0,30981.0,44125.0,50251.0,-58.9,31.3,42.4,13.9
Jabalpur,Western Group of Temples Khajuraho,244995.0,128515.0,243475.0,419259.0,436517.0,-47.5,89.5,72.2,4.1
Jaipur,Ancient Site Bhangarh,190833.0,53946.0,147549.0,184391.0,265999.0,-71.7,173.5,25.0,44.3
Jaipur,Baori at Abhaneri,66821.0,44284.0,57881.0,81401.0,100468.0,-33.7,30.7,40.6,23.4
Jaipur,Deeg Bhawan,28510.0,12772.0,33004.0,32624.0,39755.0,-55.2,158.4,-1.2,21.9
Jhansi,Gupta Temple & Varah Temple Deogarh,1348.0,931.0,1636.0,934.0,1844.0,-30.9,75.7,-42.9,97.4
Jhansi,Kalinjar Fort,81507.0,80291.0,88603.0,95957.0,116701.0,-1.5,10.4,8.3,21.6
Jhansi,Rani Jhansi Fort,361294.0,174622.0,310233.0,409822.0,470724.0,-51.7,77.7,32.1,14.9
Jhansi,Rani Lakshmi Bai Mahal,15954.0,5712.0,10836.0,15470.0,23082.0,-64.2,89.7,42.8,49.2
Jodhpur,Chittaurgarh Fort,565133.0,223328.0,590389.0,802807.0,887218.0,-60.5,164.4,36.0,10.5
Jodhpur,Kumbhalgarh Fort,495276.0,203050.0,324707.0,389625.0,343183.0,-59.0,59.9,20.0,-11.9
Jodhpur,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,241299.0,131764.0,456924.0,709581.0,547782.0,-45.4,246.8,55.3,-22.8
Kolkata,Bishnupur Temples,154986.0,117107.0,111814.0,185784.0,196991.0,-24.4,-4.5,66.2,6.0
Kolkata,Metcelf-Hall,605.0,7818.0,7812.0,17800.0,22639.0,1192.2,-0.1,127.9,27.2
Leh,Ancient Palace Leh,56639.0,2047.0,52402.0,60052.0,87097.0,-96.4,2459.9,14.6,45.0
Lucknow,Piprahwa & Ganwaria,38342.0,12062.0,23153.0,37817.0,46824.0,-68.5,91.9,63.3,23.8
Lucknow,Residency Building,116348.0,57194.0,111829.0,152480.0,169387.0,-50.8,95.5,36.4,11.1
Lucknow,Site of Sahet mahet,74597.0,27201.0,51796.0,93790.0,108968.0,-63.5,90.4,81.1,16.2
Mumbai,Aga Khan Palace Building,219939.0,18963.0,41150.0,187407.0,249513.0,-91.4,117.0,355.4,33.1
Mumbai,Buddhist Caves Kanheri,401808.0,213.0,87182.0,327250.0,380601.0,-99.9,40830.5,275.4,16.3
Mumbai,Cave Temple & Inscriptions Bhaja,80319.0,10976.0,35790.0,89302.0,62666.0,-86.3,226.1,149.5,-29.8
Mumbai,Cave Temple and Inscriptions Junaar Lenyadri,354946.0,73899.0,173143.0,404079.0,479866.0,-79.2,134.3,133.4,18.8
Mumbai,Caves Temples and inscriptions Karla,219758.0,51045.0,156834.0,301392.0,250417.0,-76.8,207.2,92.2,-16.9
