state,domestic_visit(in lakhs)
Andaman & Nicobar Island,4.98279
Andhra Pradesh,1947.67874
Arunachal Pradesh,5.12436
Assam,58.56282
Bihar,336.21613
Chandigarh,15.38796
Chhattisgarh,193.29501
Dadra & Nagar Haveli,6.09435
Daman & Diu,8.98824
Delhi,291.14423
Goa,70.81559
Gujarat,543.69873
Haryana,48.88952
Himachal Pradesh,160.93935
Jharkhand,354.08822
J&K,170.76315
Karnataka,2143.06456
Kerala,156.04661
Lakshadweep,0.10435
Madhya Pradesh,839.69799
Maharashtra,1191.91539
Manipur,1.76109
Meghalaya,11.9834
Mizoram,0.76551
Nagaland,1.01588
Odisha,152.0854
Puducherry,16.1666
Punjab,445.95061
Rajasthan,502.35643
Sikkim,14.26127
Tamil Nadu,3859.09376
Telangana,928.78329
Tripura,4.14388
Uttar Pradesh,2850.79848
Uttarakhand,356.0965
West Bengal,856.57365
